zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
44418,41.3074,-80.60345,Fowler,OH,Ohio,TRUE,,1531,30.1,39155,Trumbull,{'39155':100},Trumbull,39155,FALSE,FALSE,America/New_York
44420,41.17326,-80.68007,Girard,OH,Ohio,TRUE,,14796,380.9,39155,Trumbull,{'39155':100},Trumbull,39155,FALSE,FALSE,America/New_York
44423,40.75273,-80.9008,Hanoverton,OH,Ohio,TRUE,,2423,34.2,39029,Columbiana,{'39029':100},Columbiana,39029,FALSE,FALSE,America/New_York
44425,41.17051,-80.5738,Hubbard,OH,Ohio,TRUE,,14354,186.4,39155,Trumbull,"{'39099':0.77,'39155':99.23}",Trumbull|Mahoning,39155|39099,FALSE,FALSE,America/New_York
44427,40.7163,-80.95635,Kensington,OH,Ohio,TRUE,,1406,20.3,39029,Columbiana,"{'39019':39.45,'39029':60.55}",Columbiana|Carroll,39029|39019,FALSE,FALSE,America/New_York
44428,41.4361,-80.57855,Kinsman,OH,Ohio,TRUE,,3045,23.3,39155,Trumbull,"{'39007':1.88,'39155':98.12}",Trumbull|Ashtabula,39155|39007,FALSE,FALSE,America/New_York
44429,41.09715,-80.98165,Lake Milton,OH,Ohio,TRUE,,2544,153.1,39099,Mahoning,"{'39099':97.52,'39133':2.48}",Mahoning|Portage,39099|39133,FALSE,FALSE,America/New_York
44430,41.24067,-80.90783,Leavittsburg,OH,Ohio,TRUE,,4777,148.9,39155,Trumbull,{'39155':100},Trumbull,39155,FALSE,FALSE,America/New_York
44431,40.8483,-80.75416,Leetonia,OH,Ohio,TRUE,,4514,69.5,39029,Columbiana,{'39029':100},Columbiana,39029,FALSE,FALSE,America/New_York
44432,40.75012,-80.75814,Lisbon,OH,Ohio,TRUE,,13279,51.2,39029,Columbiana,{'39029':100},Columbiana,39029,FALSE,FALSE,America/New_York
44436,41.05947,-80.54332,Lowellville,OH,Ohio,TRUE,,3695,63.9,39099,Mahoning,{'39099':100},Mahoning,39099,FALSE,FALSE,America/New_York
